2026-02-26 12:08:52 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:17:11 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:22:38 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:29:11 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:29:59 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:31:04 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:34:06 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:34:24 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:36:14 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:40:39 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:40:44 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:40:50 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:40:55 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:41:00 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:41:06 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:41:11 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:41:16 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:41:22 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:41:27 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:41:33 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:41:38 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:41:45 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:42:02 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:42:10 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:42:16 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:42:23 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:42:31 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:42:40 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:42:48 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:42:55 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:43:02 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:43:09 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:43:16 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:43:23 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:43:32 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:43:39 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:43:46 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:43:52 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:43:59 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:44:07 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:44:14 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:44:21 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:44:28 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:44:38 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:44:46 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:44:52 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:45:00 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:45:08 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:45:15 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:45:24 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:45:32 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:45:39 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:45:46 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:45:52 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
2026-02-26 12:45:59 - logistics_env - INFO - 物流调度环境重置，仓库数: 3, 车辆数: 5
